ticker,sector,industry,marketcap,name,exchange,currency
AGU,Basic Materials,Agricultural Inputs,5 - Large,Agrium Inc,NYSE,USD
CF,Basic Materials,Agricultural Inputs,5 - Large,CF Industries Holdings Inc,NYSE,USD
FMC,Basic Materials,Agricultural Inputs,5 - Large,Fmc Corp,NYSE,USD
MON,Basic Materials,Agricultural Inputs,5 - Large,Monsanto Co,NYSE,USD
MOS,Basic Materials,Agricultural Inputs,5 - Large,Mosaic Co,NYSE,USD
NTR,Basic Materials,Agricultural Inputs,5 - Large,Nutrien Ltd,NYSE,USD
POT,Basic Materials,Agricultural Inputs,5 - Large,Potash Corp Of Saskatchewan Inc,NYSE,USD
SYT,Basic Materials,Agricultural Inputs,5 - Large,Syngenta Ag,NYSE,USD
ICL,Basic Materials,Agricultural Inputs,4 - Mid,Israel Chemicals Ltd,NYSE,USD
IGL,Basic Materials,Agricultural Inputs,4 - Mid,Imc Global Inc,NYSE,USD
IPI,Basic Materials,Agricultural Inputs,4 - Mid,Intrepid Potash Inc,NYSE,USD
SMG,Basic Materials,Agricultural Inputs,4 - Mid,Scotts Miracle-Gro Co,NYSE,USD
TNH,Basic Materials,Agricultural Inputs,4 - Mid,Terra Nitrogen Co L P,NYSE,USD
TRA,Basic Materials,Agricultural Inputs,4 - Mid,Terra Industries Inc,NYSE,USD
UAN,Basic Materials,Agricultural Inputs,4 - Mid,Cvr Partners Lp,NYSE,USD
UAPH,Basic Materials,Agricultural Inputs,4 - Mid,Uap Holding Corp,NASDAQ,USD
AGFS,Basic Materials,Agricultural Inputs,3 - Small,AgroFresh Solutions Inc,NASDAQ,USD
AVD,Basic Materials,Agricultural Inputs,3 - Small,American Vanguard Corp,NYSE,USD
CAGC,Basic Materials,Agricultural Inputs,3 - Small,China Agritech Inc,NASDAQ,USD
CEM1,Basic Materials,Agricultural Inputs,3 - Small,Chemfirst Inc,NYSE,USD
CGA,Basic Materials,Agricultural Inputs,3 - Small,China Green Agriculture Inc,NYSE,USD
MBII,Basic Materials,Agricultural Inputs,3 - Small,Marrone Bio Innovations Inc,NASDAQ,USD
MSPIQ,Basic Materials,Agricultural Inputs,3 - Small,Mississippi Chemical Corp,NYSE,USD
RNF,Basic Materials,Agricultural Inputs,3 - Small,Rentech Nitrogen Partners LP,NYSE,USD
RTKH,Basic Materials,Agricultural Inputs,3 - Small,Rentech Inc,NASDAQ,USD
YONG,Basic Materials,Agricultural Inputs,3 - Small,Yongye International Inc,NASDAQ,USD
ALCD,Basic Materials,Agricultural Inputs,2 - Micro,Alcide Corp,NASDAQ,USD
BBCZ,Basic Materials,Agricultural Inputs,2 - Micro,Bodisen Biotech Inc,NYSEMKT,USD
LSCO,Basic Materials,Agricultural Inputs,2 - Micro,Lesco Inc,NASDAQ,USD
RKDA,Basic Materials,Agricultural Inputs,2 - Micro,Arcadia Biosciences Inc,NASDAQ,USD
SNES,Basic Materials,Agricultural Inputs,2 - Micro,SenesTech Inc,NASDAQ,USD
BNET,Basic Materials,Agricultural Inputs,1 - Nano,Bion Environmental Technologies Inc,OTC,USD
ECGN,Basic Materials,Agricultural Inputs,1 - Nano,Ecogen Inc,NASDAQ,USD
ECSC,Basic Materials,Agricultural Inputs,1 - Nano,Ecoscience Corp,NASDAQ,USD
VERD,Basic Materials,Agricultural Inputs,1 - Nano,Verdant Brands Inc,NASDAQ,USD
BIOX,Basic Materials,Agricultural Inputs,NA,Bioceres Crop Solutions Corp,NYSEMKT,USD
AA,Basic Materials,Aluminum,4 - Mid,Alcoa Corp,NYSE,USD
ACH,Basic Materials,Aluminum,4 - Mid,Aluminum Corp Of China Ltd,NYSE,CNY
AMX1,Basic Materials,Aluminum,4 - Mid,Alumax Inc,NYSE,USD
CENX,Basic Materials,Aluminum,4 - Mid,Century Aluminum Co,NASDAQ,USD
CSTM,Basic Materials,Aluminum,4 - Mid,Constellium NV,NYSE,EUR
NVL,Basic Materials,Aluminum,4 - Mid,Novelis Inc,NYSE,USD
PEHYY,Basic Materials,Aluminum,4 - Mid,Pechiney,NYSE,EUR
RLM1,Basic Materials,Aluminum,4 - Mid,Reynolds Metals Co,NYSE,USD
RTI,Basic Materials,Aluminum,4 - Mid,Rti International Metals Inc,NYSE,USD
TIE,Basic Materials,Aluminum,4 - Mid,Titanium Metals Corp,NYSE,USD
