Name,Identifier,Weight,Sector,Shares Held
Sterling Bancorp,STL,1.868068,Regional Banks,2292259.000
PNC Financial Services Group Inc.,PNC,1.802710,Regional Banks,345058.000
CIT Group Inc.,CIT,1.793041,Regional Banks,894287.000
Fifth Third Bancorp,FITB,1.784214,Regional Banks,1639852.000
SVB Financial Group,SIVB,1.763003,Regional Banks,182504.000
Western Alliance Bancorp,WAL,1.752449,Regional Banks,994290.000
Signature Bank,SBNY,1.750906,Regional Banks,327878.000
Cullen/Frost Bankers Inc.,CFR,1.745209,Regional Banks,427354.000
First Republic Bank,FRC,1.737874,Regional Banks,430020.000
KeyCorp,KEY,1.737574,Regional Banks,2608033.000
PacWest Bancorp,PACW,1.736852,Regional Banks,1117546.000
People's United Financial Inc.,PBCT,1.736086,Regional Banks,2548760.000
Regions Financial Corporation,RF,1.726058,Regional Banks,2827178.000
Citizens Financial Group Inc.,CFG,1.723144,Regional Banks,1258356.000
M&T Bank Corporation,MTB,1.720908,Regional Banks,260635.000
BB&T Corporation,BBT,1.712750,Regional Banks,881675.000
SunTrust Banks Inc.,STI,1.710369,Regional Banks,688751.000
East West Bancorp Inc.,EWBC,1.707831,Regional Banks,837690.000
First Horizon National Corporation,FHN,1.705736,Regional Banks,2949320.000
Texas Capital Bancshares Inc.,TCBI,1.704290,Regional Banks,739842.000
Huntington Bancshares Incorporated,HBAN,1.703567,Regional Banks,3178454.000
Zions Bancorporation N.A.,ZION,1.700592,Regional Banks,898091.000
Bank OZK,OZK,1.695715,Regional Banks,1413263.000
Umpqua Holdings Corporation,UMPQ,1.660122,Regional Banks,2340179.000
Wintrust Financial Corporation,WTFC,1.654087,Regional Banks,551139.000
Synovus Financial Corp.,SNV,1.654022,Regional Banks,1153982.000
Comerica Incorporated,CMA,1.631971,Regional Banks,523907.000
Investors Bancorp Inc,ISBC,1.631298,Regional Banks,3315455.000
Popular Inc.,BPOP,1.574350,Regional Banks,715613.000
F.N.B. Corporation,FNB,1.537928,Regional Banks,3417276.000
Prosperity Bancshares Inc.(R),PB,1.508774,Regional Banks,530388.000
Webster Financial Corporation,WBS,1.489976,Regional Banks,693970.000
Cadence Bancorporation Class A,CADE,1.468150,Regional Banks,1805877.000
TCF Financial Corporation,TCF,1.437832,Regional Banks,1651423.000
Associated Banc-Corp,ASB,1.386657,Regional Banks,1558237.000
Commerce Bancshares Inc.,CBSH,1.335984,Regional Banks,567300.000
BankUnited Inc.,BKU,1.331766,Regional Banks,948891.000
IBERIABANK Corporation,IBKC,1.286972,Regional Banks,424598.000
First Hawaiian Inc.,FHB,1.222228,Regional Banks,1150300.000
Pinnacle Financial Partners Inc.,PNFP,1.217006,Regional Banks,541593.000
Chemical Financial Corporation,CHFC,1.111290,Regional Banks,643552.000
BOK Financial Corporation,BOKF,1.062398,Regional Banks,311333.000
Bank of Hawaii Corporation,BOH,1.038568,Regional Banks,320064.000
Valley National Bancorp,VLY,1.032559,Regional Banks,2532835.000
Hancock Whitney Corporation,HWC,0.944649,Regional Banks,542244.000
Fulton Financial Corporation,FULT,0.924639,Regional Banks,1416206.000
First Financial Bankshares Inc,FFIN,0.900957,Regional Banks,376613.000
BancorpSouth Bank,BXS,0.848764,Regional Banks,716762.000
Cathay General Bancorp,CATY,0.843392,Regional Banks,593456.000
United Bankshares Inc.,UBSI,0.814899,Regional Banks,535416.000
Trustmark Corporation,TRMK,0.741539,Regional Banks,542766.000
Home BancShares Inc.,HOMB,0.731566,Regional Banks,984421.000
First Bancorp,FBP,0.720735,Regional Banks,1579441.000
Old National Bancorp,ONB,0.718642,Regional Banks,1072967.000
South State Corporation,SSB,0.715635,Regional Banks,247980.000
Glacier Bancorp Inc.,GBCI,0.715004,Regional Banks,431310.000
CenterState Bank Corporation,CSFL,0.680599,Regional Banks,703405.000
UMB Financial Corporation,UMBF,0.677372,Regional Banks,254215.000
Hope Bancorp Inc.,HOPE,0.670702,Regional Banks,1208038.000
Community Bank System Inc.,CBU,0.668654,Regional Banks,267444.000
First Citizens BancShares Inc. Class A,FCNCA,0.663269,Regional Banks,38245.000
Ameris Bancorp,ABCB,0.640071,Regional Banks,454150.000
Columbia Banking System Inc.,COLB,0.623796,Regional Banks,449485.000
United Community Banks Inc.,UCBI,0.615564,Regional Banks,588686.000
Independent Bank Group Inc.,IBTX,0.615108,Regional Banks,276244.000
Great Western Bancorp Inc.,GWB,0.608792,Regional Banks,454079.000
Union Bankshares Corporation,UBSH,0.594199,Regional Banks,432067.000
Eagle Bancorp Inc.,EGBN,0.566701,Regional Banks,261651.000
First Midwest Bancorp Inc.,FMBI,0.555328,Regional Banks,663850.000
Banner Corporation,BANR,0.544347,Regional Banks,247298.000
LegacyTexas Financial Group Inc.,LTXB,0.523207,Regional Banks,331790.000
Simmons First National Corporation Class A,SFNC,0.519041,Regional Banks,510357.000
CVB Financial Corp.,CVBF,0.502421,Regional Banks,585767.000
