Name,Identifier,Weight,Sector,Shares Held
Zebra Technologies Corporation Class A,ZBRA,0.724484,Information Technology,634651.000
IDEX Corporation,IEX,0.677981,Industrials,892930.000
STERIS Plc,STE,0.608113,Health Care,996533.000
Domino's Pizza Inc.,DPZ,0.601746,Consumer Discretionary,483511.000
Ultimate Software Group Inc.,ULTI,0.601037,Information Technology,373227.000
Trimble Inc.,TRMB,0.597048,Information Technology,2963127.000
PTC Inc.,PTC,0.596694,Information Technology,1257816.000
NVR Inc.,NVR,0.590029,Consumer Discretionary,40056.000
Old Dominion Freight Line Inc.,ODFL,0.577161,Industrials,764810.000
FactSet Research Systems Inc.,FDS,0.575567,Financials,448120.000
MarketAxess Holdings Inc.,MKTX,0.568942,Financials,443973.000
Lennox International Inc.,LII,0.560416,Industrials,422767.000
Camden Property Trust,CPT,0.554445,Real Estate,1138461.000
Cognex Corporation,CGNX,0.549131,Information Technology,2012588.000
Leidos Holdings Inc.,LDOS,0.546624,Information Technology,1721947.000
Reinsurance Group of America Incorporated,RGA,0.543234,Financials,740022.000
Alleghany Corporation,Y,0.531449,Financials,170426.000
UGI Corporation,UGI,0.526882,Utilities,2048120.000
Teledyne Technologies Incorporated,TDY,0.526636,Industrials,426584.000
Live Nation Entertainment Inc.,LYV,0.515637,Communication Services,1629335.000
Graco Inc.,GGG,0.500975,Industrials,1947414.000
WEX Inc.,WEX,0.500578,Information Technology,507803.000
W. R. Berkley Corporation,WRB,0.486772,Financials,1703403.000
West Pharmaceutical Services Inc.,WST,0.485159,Health Care,873997.000
Tyler Technologies Inc.,TYL,0.482494,Information Technology,451136.000
National Retail Properties Inc.,NNN,0.478311,Real Estate,1904048.000
OGE Energy Corp.,OGE,0.476994,Utilities,2353075.000
Fair Isaac Corporation,FICO,0.473065,Information Technology,342490.000
RPM International Inc.,RPM,0.466332,Materials,1550931.000
Teradyne Inc.,TER,0.449950,Information Technology,2045552.000
Steel Dynamics Inc.,STLD,0.448954,Materials,2704389.000
Toro Company,TTC,0.444822,Industrials,1250358.000
Five Below Inc.,FIVE,0.441149,Consumer Discretionary,656918.000
Molina Healthcare Inc.,MOH,0.437883,Health Care,735851.000
Kilroy Realty Corporation,KRC,0.436554,Real Estate,1189473.000
Service Corporation International,SCI,0.432774,Consumer Discretionary,2135960.000
East West Bancorp Inc.,EWBC,0.432505,Financials,1707786.000
CDK Global Inc,CDK,0.431891,Information Technology,1469252.000
Signature Bank,SBNY,0.430581,Financials,649095.000
SEI Investments Company,SEIC,0.429666,Financials,1520948.000
Nordson Corporation,NDSN,0.429423,Industrials,607826.000
Post Holdings Inc.,POST,0.425239,Consumer Staples,783388.000
Bio-Techne Corporation,TECH,0.423460,Health Care,444927.000
Omega Healthcare Investors Inc.,OHI,0.423117,Real Estate,2406055.000
Universal Display Corporation,OLED,0.420801,Information Technology,499510.000
Carlisle Companies Incorporated,CSL,0.418953,Industrials,674801.000
Arrow Electronics Inc.,ARW,0.413882,Information Technology,1000421.000
Brown & Brown Inc.,BRO,0.409650,Financials,2735032.000
Liberty Property Trust,LPT,0.407624,Real Estate,1743058.000
American Financial Group Inc.,AFG,0.403565,Financials,831232.000
Jones Lang LaSalle Incorporated,JLL,0.398377,Real Estate,537480.000
Lamar Advertising Company Class A,LAMR,0.396253,Real Estate,1003319.000
Aptargroup Inc.,ATR,0.396123,Materials,741400.000
Exelixis Inc.,EXEL,0.393797,Health Care,3535880.000
Cree Inc.,CREE,0.393573,Information Technology,1216099.000
Hubbell Incorporated Class B,HUBB,0.393172,Industrials,643275.000
Medical Properties Trust Inc.,MPW,0.392785,Real Estate,4489542.000
XPO Logistics Inc.,XPO,0.391948,Industrials,1286444.000
Donaldson Company Inc.,DCI,0.390466,Industrials,1506705.000
Hill-Rom Holdings Inc.,HRC,0.386624,Health Care,785379.000
Pool Corporation,POOL,0.385926,Consumer Discretionary,464072.000
Chemours Co.,CC,0.385485,Materials,1967890.000
Charles River Laboratories International Inc.,CRL,0.382152,Health Care,568158.000
Cullen/Frost Bankers Inc.,CFR,0.376469,Financials,742119.000
Douglas Emmett Inc,DEI,0.375981,Real Estate,1905155.000
RenaissanceRe Holdings Ltd.,RNR,0.374083,Financials,497248.000
Masimo Corporation,MASI,0.371737,Health Care,576311.000
American Campus Communities Inc.,ACC,0.369272,Real Estate,1614385.000
Aqua America Inc.,WTR,0.366010,Utilities,2098767.000
Dunkin' Brands Group Inc.,DNKN,0.364376,Consumer Discretionary,973548.000
Ingredion Incorporated,INGR,0.357165,Consumer Staples,785415.000
First American Financial Corporation,FAF,0.356672,Financials,1313317.000
U.S. Dollar,CASH_USD,0.356373,Unassigned,73116609.000
Catalent Inc,CTLT,0.355908,Health Care,1715726.000
Reliance Steel & Aluminum Co.,RS,0.353166,Materials,790257.000
Sonoco Products Company,SON,0.351399,Materials,1177080.000
