Name,Identifier,Weight,Sector,Shares Held
Selective Insurance Group Inc.,SIGI,0.537730,Financials,101110.000
EastGroup Properties Inc.,EGP,0.530917,Real Estate,62425.000
FirstCash Inc.,FCFS,0.514183,Financials,74679.000
Darling Ingredients Inc.,DAR,0.482359,Consumer Staples,282292.000
Axon Enterprise Inc,AAXN,0.480739,Industrials,100836.000
iRobot Corporation,IRBT,0.478903,Consumer Discretionary,47677.000
Cabot Microelectronics Corporation,CCMP,0.477478,Information Technology,49378.000
Glacier Bancorp Inc.,GBCI,0.474046,Financials,144853.000
Tetra Tech Inc.,TTEK,0.458437,Industrials,94651.000
Merit Medical Systems Inc.,MMSI,0.454126,Health Care,94107.000
Wolverine World Wide Inc.,WWW,0.441665,Consumer Discretionary,156907.000
Community Bank System Inc.,CBU,0.433224,Financials,87775.000
Mercury Systems Inc.,MRCY,0.428605,Industrials,83084.000
John Bean Technologies Corporation,JBT,0.423811,Industrials,53737.000
Omnicell Inc.,OMCL,0.419172,Health Care,69549.000
Rogers Corporation,ROG,0.418863,Information Technology,31425.000
Balchem Corporation,BCPC,0.418767,Materials,54954.000
Proto Labs Inc.,PRLB,0.406517,Industrials,46387.000
SkyWest Inc,SKYW,0.405977,Industrials,88490.000
FTI Consulting Inc.,FCN,0.404325,Industrials,64860.000
Strategic Education Inc.,STRA,0.403470,Consumer Discretionary,37016.000
Fox Factory Holding Corp.,FOXF,0.399699,Consumer Discretionary,65319.000
Moog Inc. Class A,MOG.A,0.398104,Industrials,55235.000
Independent Bank Corp.,INDB,0.395110,Financials,58998.000
PDC Energy Inc,PDCE,0.393624,Energy,113306.000
Neogen Corporation,NEOG,0.391925,Health Care,89286.000
LHC Group Inc.,LHCG,0.386538,Health Care,50028.000
Viavi Solutions Inc,VIAV,0.386460,Information Technology,390704.000
Exponent Inc.,EXPO,0.385225,Industrials,88258.000
South Jersey Industries Inc.,SJI,0.384424,Utilities,158259.000
RLI Corp.,RLI,0.382831,Financials,67171.000
Quaker Chemical Corporation,KWR,0.381910,Materials,22834.000
Finisar Corporation,FNSR,0.381590,Information Technology,202068.000
Monro Inc,MNRO,0.371148,Consumer Discretionary,56948.000
Qualys Inc.,QLYS,0.366307,Information Technology,57672.000
Avista Corporation,AVA,0.364996,Utilities,112624.000
Chart Industries Inc.,GTLS,0.363861,Industrials,54038.000
Dorman Products Inc.,DORM,0.360601,Consumer Discretionary,49743.000
Korn Ferry,KFY,0.357195,Industrials,97104.000
Hillenbrand Inc.,HI,0.355702,Industrials,107094.000
Iridium Communications Inc.,IRDM,0.353358,Communication Services,168027.000
Steven Madden Ltd.,SHOO,0.350228,Consumer Discretionary,133971.000
