Name,Identifier,Weight,Sector,Shares Held
Microsoft Corporation,MSFT,3.822996,Information Technology,88931460.000
Apple Inc.,AAPL,3.682601,Information Technology,51923856.000
Amazon.com Inc.,AMZN,3.171668,Consumer Discretionary,4782732.000
Facebook Inc. Class A,FB,1.760543,Communication Services,27651560.000
Berkshire Hathaway Inc. Class B,BRK.B,1.699275,Financials,22539704.000
Alphabet Inc. Class C,GOOG,1.556326,Communication Services,3563039.000
Alphabet Inc. Class A,GOOGL,1.521564,Communication Services,3469939.000
Johnson & Johnson,JNJ,1.516562,Health Care,30869426.000
JPMorgan Chase & Co.,JPM,1.500893,Financials,37953000.000
Exxon Mobil Corporation,XOM,1.419515,Energy,49112776.000
Visa Inc. Class A,V,1.157044,Information Technology,20286940.000
Bank of America Corp,BAC,1.107412,Financials,104121160.000
Procter & Gamble Company,PG,1.098386,Consumer Staples,28996272.000
Intel Corporation,INTC,1.052217,Information Technology,52126210.000
Cisco Systems Inc.,CSCO,1.034350,Information Technology,51025160.000
Verizon Communications Inc.,VZ,1.002279,Communication Services,47895624.000
AT&T Inc.,T,0.969300,Communication Services,84438220.000
Home Depot Inc.,HD,0.952928,Consumer Discretionary,13093053.000
Chevron Corporation,CVX,0.949925,Energy,22024440.000
Walt Disney Company,DIS,0.943475,Communication Services,20404784.000
Pfizer Inc.,PFE,0.937332,Health Care,64352944.000
Mastercard Incorporated Class A,MA,0.894090,Information Technology,10462070.000
UnitedHealth Group Incorporated,UNH,0.874779,Health Care,11122311.000
Boeing Company,BA,0.827508,Industrials,6090291.000
Merck & Co. Inc.,MRK,0.826012,Health Care,29919842.000
Wells Fargo & Company,WFC,0.804976,Financials,47460332.000
Comcast Corporation Class A,CMCSA,0.781429,Communication Services,52307150.000
Coca-Cola Company,KO,0.744469,Consumer Staples,44547300.000
PepsiCo Inc.,PEP,0.709436,Consumer Staples,16281957.000
Citigroup Inc.,C,0.672469,Financials,27257542.000
Netflix Inc.,NFLX,0.646719,Communication Services,5054472.000
McDonald's Corporation,MCD,0.605929,Consumer Discretionary,8879951.000
Walmart Inc.,WMT,0.603825,Consumer Staples,16480864.000
Oracle Corporation,ORCL,0.573215,Information Technology,29499528.000
Abbott Laboratories,ABT,0.552811,Health Care,20333280.000
Philip Morris International Inc.,PM,0.552270,Consumer Staples,17997162.000
Adobe Inc.,ADBE,0.545527,Information Technology,5646365.000
International Business Machines Corporation,IBM,0.532158,Information Technology,10300635.000
PayPal Holdings Inc,PYPL,0.523763,Information Technology,13599342.000
Broadcom Inc.,AVGO,0.519758,Information Technology,4584611.000
3M Company,MMM,0.514596,Industrials,6665270.000
Union Pacific Corporation,UNP,0.500322,Industrials,8367638.000
salesforce.com inc.,CRM,0.500283,Information Technology,8856795.000
Honeywell International Inc.,HON,0.489239,Industrials,8439503.000
AbbVie Inc.,ABBV,0.487492,Health Care,17074560.000
Amgen Inc.,AMGN,0.482146,Health Care,7203045.000
Medtronic plc,MDT,0.476112,Health Care,15526189.000
Accenture Plc Class A,ACN,0.470356,Information Technology,7379703.000
NVIDIA Corporation,NVDA,0.470302,Information Technology,7020118.000
NIKE Inc. Class B,NKE,0.455406,Consumer Discretionary,14571837.000
United Technologies Corporation,UTX,0.452073,Industrials,9384111.000
Texas Instruments Incorporated,TXN,0.449973,Information Technology,10863152.000
Costco Wholesale Corporation,COST,0.445367,Consumer Staples,5099878.000
Thermo Fisher Scientific Inc.,TMO,0.442649,Health Care,4660536.000
Altria Group Inc,MO,0.435562,Consumer Staples,21699936.000
Eli Lilly and Company,LLY,0.427407,Health Care,10009578.000
Linde plc,LIN,0.410173,Materials,6379873.000
Starbucks Corporation,SBUX,0.387947,Consumer Discretionary,14397513.000
Lowe's Companies Inc.,LOW,0.386915,Consumer Discretionary,9288146.000
NextEra Energy Inc.,NEE,0.373449,Utilities,5535884.000
DowDuPont Inc.,DWDP,0.363727,Materials,26100864.000
QUALCOMM Incorporated,QCOM,0.351802,Information Technology,14029033.000
American Tower Corporation,AMT,0.349387,Real Estate,5106974.000
Booking Holdings Inc.,BKNG,0.341684,Consumer Discretionary,521215.000
Gilead Sciences Inc.,GILD,0.340744,Health Care,14832330.000
Caterpillar Inc.,CAT,0.336799,Industrials,6661945.000
Danaher Corporation,DHR,0.331911,Health Care,7274652.000
General Electric Company,GE,0.327875,Industrials,100779530.000
United Parcel Service Inc. Class B,UPS,0.326783,Industrials,8057389.000
American Express Company,AXP,0.318820,Financials,8005779.000
Lockheed Martin Corporation,LMT,0.314491,Industrials,2849527.000
U.S. Bancorp,USB,0.311727,Financials,17417650.000
Bristol-Myers Squibb Company,BMY,0.309627,Health Care,18901788.000
ConocoPhillips,COP,0.307762,Energy,13132141.000
Mondelez International Inc. Class A,MDLZ,0.299727,Consumer Staples,16800646.000
Automatic Data Processing Inc.,ADP,0.291070,Information Technology,5043343.000
CVS Health Corporation,CVS,0.288108,Health Care,15016792.000
Goldman Sachs Group Inc.,GS,0.286129,Financials,3982588.000
TJX Companies Inc,TJX,0.278287,Consumer Discretionary,14347836.000
Intuit Inc.,INTU,0.275771,Information Technology,3003004.000
Celgene Corporation,CELG,0.273665,Health Care,8131469.000
Schlumberger NV,SLB,0.270377,Energy,16045463.000
Duke Energy Corporation,DUK,0.266935,Utilities,8417579.000
Becton Dickinson and Company,BDX,0.266148,Health Care,3115199.000
Intuitive Surgical Inc.,ISRG,0.264793,Health Care,1325018.000
Chubb Limited,CB,0.264744,Financials,5304658.000
Anthem Inc.,ANTM,0.259782,Health Care,2977301.000
