Name,Identifier,Weight,Sector,Shares Held
Axon Enterprise Inc,AAXN,4.972522,Aerospace & Defense,1069133.000
Arconic Inc.,ARNC,4.234312,Aerospace & Defense,2709663.000
Huntington Ingalls Industries Inc.,HII,4.181520,Aerospace & Defense,250338.000
Teledyne Technologies Incorporated,TDY,4.181239,Aerospace & Defense,218459.000
HEICO Corporation,HEI,4.165864,Aerospace & Defense,550090.000
United Technologies Corporation,UTX,4.131669,Aerospace & Defense,404001.000
TransDigm Group Incorporated,TDG,4.056918,Aerospace & Defense,117190.000
BWX Technologies Inc.,BWXT,4.055570,Aerospace & Defense,1028563.000
General Dynamics Corporation,GD,3.959085,Aerospace & Defense,301563.000
L3 Technologies Inc,LLL,3.906758,Aerospace & Defense,240582.000
Lockheed Martin Corporation,LMT,3.900400,Aerospace & Defense,166474.000
Harris Corporation,HRS,3.887486,Aerospace & Defense,309692.000
Northrop Grumman Corporation,NOC,3.863666,Aerospace & Defense,181566.000
Textron Inc.,TXT,3.863057,Aerospace & Defense,980490.000
Raytheon Company,RTN,3.819448,Aerospace & Defense,277175.000
Aerojet Rocketdyne Holdings Inc.,AJRD,3.773121,Aerospace & Defense,1520017.000
Hexcel Corporation,HXL,3.734421,Aerospace & Defense,718111.000
Curtiss-Wright Corporation,CW,3.724296,Aerospace & Defense,437324.000
Spirit AeroSystems Holdings Inc. Class A,SPR,3.426816,Aerospace & Defense,519350.000
Boeing Company,BA,3.420227,Aerospace & Defense,118575.000
Mercury Systems Inc.,MRCY,3.089389,Aerospace & Defense,613877.000
Cubic Corporation,CUB,2.804473,Aerospace & Defense,674672.000
AeroVironment Inc.,AVAV,2.712489,Aerospace & Defense,537774.000
Kratos Defense & Security Solutions Inc.,KTOS,2.654251,Aerospace & Defense,2329291.000
Triumph Group Inc.,TGI,2.544207,Aerospace & Defense,1432741.000
Moog Inc. Class A,MOG.A,2.223728,Aerospace & Defense,316263.000
AAR CORP.,AIR,1.826826,Aerospace & Defense,718875.000
Astronics Corporation,ATRO,0.805875,Aerospace & Defense,328146.000
Wesco Aircraft Holdings Inc,WAIR,0.744789,Aerospace & Defense,1184658.000
National Presto Industries Inc.,NPK,0.742488,Aerospace & Defense,90670.000
KEYW Holding Corporation,KEYW,0.563897,Aerospace & Defense,935147.000
