Name,Identifier,Weight,Sector,Shares Held
Ionis Pharmaceuticals Inc.,IONS,1.799440,Biotechnology,922258.000
Ligand Pharmaceuticals Incorporated,LGND,1.792489,Biotechnology,613495.000
Global Blood Therapeutics Inc,GBT,1.775363,Biotechnology,1299125.000
Celgene Corporation,CELG,1.704462,Biotechnology,769452.000
Exact Sciences Corporation,EXAS,1.698053,Biotechnology,761245.000
SAGE Therapeutics Inc.,SAGE,1.695520,Biotechnology,430620.000
bluebird bio Inc.,BLUE,1.688959,Biotechnology,468056.000
Seattle Genetics Inc.,SGEN,1.687012,Biotechnology,938812.000
Neurocrine Biosciences Inc.,NBIX,1.677965,Biotechnology,845481.000
Portola Pharmaceuticals Inc.,PTLA,1.640949,Biotechnology,2021962.000
Array BioPharma Inc.,ARRY,1.636904,Biotechnology,2978181.000
Immunomedics Inc.,IMMU,1.628667,Biotechnology,3974644.000
Alexion Pharmaceuticals Inc.,ALXN,1.620277,Biotechnology,505027.000
Alnylam Pharmaceuticals Inc,ALNY,1.619299,Biotechnology,780450.000
Amgen Inc.,AMGN,1.582828,Biotechnology,359266.000
AbbVie Inc.,ABBV,1.574179,Biotechnology,837686.000
Gilead Sciences Inc.,GILD,1.554035,Biotechnology,1027750.000
Vertex Pharmaceuticals Incorporated,VRTX,1.543652,Biotechnology,366573.000
Exelixis Inc.,EXEL,1.509929,Biotechnology,2820499.000
ACADIA Pharmaceuticals Inc.,ACAD,1.507750,Biotechnology,2522753.000
BioMarin Pharmaceutical Inc.,BMRN,1.497497,Biotechnology,722153.000
Amicus Therapeutics Inc.,FOLD,1.492340,Biotechnology,4669915.000
Myriad Genetics Inc.,MYGN,1.486042,Biotechnology,1922086.000
United Therapeutics Corporation,UTHR,1.472746,Biotechnology,587489.000
Incyte Corporation,INCY,1.427243,Biotechnology,791363.000
Sarepta Therapeutics Inc.,SRPT,1.415356,Biotechnology,496848.000
Mirati Therapeutics Inc.,MRTX,1.398779,Biotechnology,936830.000
Regeneron Pharmaceuticals Inc.,REGN,1.390135,Biotechnology,161373.000
Intercept Pharmaceuticals Inc.,ICPT,1.383073,Biotechnology,643771.000
Alkermes Plc,ALKS,1.376087,Biotechnology,1715911.000
Ultragenyx Pharmaceutical Inc.,RARE,1.363729,Biotechnology,851993.000
FibroGen Inc.,FGEN,1.345762,Biotechnology,1184112.000
PTC Therapeutics Inc.,PTCT,1.279266,Biotechnology,1442235.000
Viking Therapeutics Inc.,VKTX,1.250219,Biotechnology,5838423.000
Agios Pharmaceuticals Inc.,AGIO,1.246551,Biotechnology,890935.000
Arrowhead Pharmaceuticals Inc.,ARWR,1.206420,Biotechnology,2674998.000
Editas Medicine Inc.,EDIT,1.177565,Biotechnology,1846514.000
Clovis Oncology Inc.,CLVS,1.175527,Biotechnology,2365634.000
Madrigal Pharmaceuticals Inc.,MDGL,1.136455,Biotechnology,412899.000
Biogen Inc.,BIIB,1.130764,Biotechnology,211020.000
Emergent BioSolutions Inc.,EBS,1.125051,Biotechnology,907248.000
Genomic Health Inc.,GHDX,1.121545,Biotechnology,734218.000
Biohaven Pharmaceutical Holding Company Ltd.,BHVN,1.070063,Biotechnology,737861.000
Sangamo Therapeutics Inc.,SGMO,1.050922,Biotechnology,3741167.000
Arena Pharmaceuticals Inc.,ARNA,1.042168,Biotechnology,933535.000
AnaptysBio Inc.,ANAB,1.025459,Biotechnology,565647.000
Acceleron Pharma Inc,XLRN,0.955804,Biotechnology,953861.000
Enanta Pharmaceuticals Inc.,ENTA,0.954369,Biotechnology,444758.000
Spark Therapeutics Inc.,ONCE,0.954007,Biotechnology,367343.000
REGENXBIO Inc.,RGNX,0.953966,Biotechnology,758677.000
Insmed Incorporated,INSM,0.949120,Biotechnology,1258899.000
Heron Therapeutics Inc,HRTX,0.928150,Biotechnology,1682936.000
Puma Biotechnology Inc.,PBYI,0.903072,Biotechnology,1138054.000
Invitae Corp.,NVTA,0.898654,Biotechnology,1550418.000
Repligen Corporation,RGEN,0.889778,Biotechnology,686523.000
Esperion Therapeutics Inc.,ESPR,0.879068,Biotechnology,901089.000
Blueprint Medicines Corp.,BPMC,0.871122,Biotechnology,476084.000
Vanda Pharmaceuticals Inc.,VNDA,0.864631,Biotechnology,2118548.000
OPKO Health Inc.,OPK,0.727719,Biotechnology,12575420.000
CareDx Inc.,CDNA,0.714842,Biotechnology,1075112.000
Ironwood Pharmaceuticals Inc. Class A,IRWD,0.713380,Biotechnology,2685118.000
Atara Biotherapeutics Inc,ATRA,0.710656,Biotechnology,850378.000
Radius Health Inc,RDUS,0.676686,Biotechnology,1269584.000
Audentes Therapeutics Inc.,BOLD,0.629047,Biotechnology,654870.000
Alder Biopharmaceuticals Inc.,ALDR,0.619839,Biotechnology,1941060.000
Aimmune Therapeutics Inc,AIMT,0.610182,Biotechnology,1218168.000
Spectrum Pharmaceuticals Inc.,SPPI,0.601650,Biotechnology,2573172.000
ImmunoGen Inc.,IMGN,0.601305,Biotechnology,9470676.000
Acorda Therapeutics Inc.,ACOR,0.548268,Biotechnology,1961591.000
Fate Therapeutics Inc.,FATE,0.538948,Biotechnology,1394180.000
Halozyme Therapeutics Inc.,HALO,0.538547,Biotechnology,1383083.000
Iovance Biotherapeutics Inc,IOVA,0.514028,Biotechnology,1945060.000
Allakos Inc.,ALLK,0.513202,Biotechnology,592188.000
Vericel Corporation,VCEL,0.502065,Biotechnology,1157109.000
Intrexon Corporation,XON,0.499525,Biotechnology,4205378.000
Natera Inc.,NTRA,0.496955,Biotechnology,1028191.000
Cara Therapeutics Inc,CARA,0.491882,Biotechnology,1088954.000
AMAG Pharmaceuticals Inc.,AMAG,0.474143,Biotechnology,1610014.000
Allogene Therapeutics Inc.,ALLO,0.442221,Biotechnology,718514.000
Intellia Therapeutics Inc.,NTLA,0.425590,Biotechnology,1044595.000
Coherus BioSciences Inc.,CHRS,0.422755,Biotechnology,1195791.000
Denali Therapeutics Inc.,DNLI,0.417189,Biotechnology,664933.000
Eagle Pharmaceuticals Inc.,EGRX,0.406481,Biotechnology,346997.000
Retrophin Inc.,RTRX,0.377398,Biotechnology,760911.000
TG Therapeutics Inc.,TGTX,0.373022,Biotechnology,1990215.000
Dynavax Technologies Corporation,DVAX,0.370814,Biotechnology,2355281.000
Momenta Pharmaceuticals Inc.,MNTA,0.361461,Biotechnology,1091879.000
Veracyte Inc,VCYT,0.340109,Biotechnology,595199.000
Epizyme Inc.,EPZM,0.333494,Biotechnology,1075118.000
Xencor Inc.,XNCR,0.331997,Biotechnology,442556.000
Stemline Therapeutics Inc.,STML,0.307998,Biotechnology,939022.000
Flexion Therapeutics Inc.,FLXN,0.307368,Biotechnology,1242369.000
G1 Therapeutics Inc.,GTHX,0.305331,Biotechnology,730110.000
Progenics Pharmaceuticals Inc.,PGNX,0.300890,Biotechnology,2568582.000
CytomX Therapeutics Inc.,CTMX,0.293098,Biotechnology,1185812.000
Ra Pharmaceuticals Inc.,RARX,0.292135,Biotechnology,568591.000
ZIOPHARM Oncology Inc.,ZIOP,0.285299,Biotechnology,2742667.000
Dicerna Pharmaceuticals Inc.,DRNA,0.282463,Biotechnology,828617.000
Akebia Therapeutics Inc.,AKBA,0.274458,Biotechnology,1643019.000
BioCryst Pharmaceuticals Inc.,BCRX,0.268937,Biotechnology,1376386.000
Rigel Pharmaceuticals Inc.,RIGL,0.267760,Biotechnology,4608390.000
MacroGenics Inc.,MGNX,0.257860,Biotechnology,652029.000
Achillion Pharmaceuticals Inc.,ACHN,0.253861,Biotechnology,3461836.000
Deciphera Pharmaceuticals Inc.,DCPH,0.238371,Biotechnology,432769.000
Inovio Pharmaceuticals Inc.,INO,0.227492,Biotechnology,2470758.000
PDL BioPharma Inc.,PDLI,0.226696,Biotechnology,2622241.000
Akcea Therapeutics Inc.,AKCA,0.212942,Biotechnology,313522.000
Anika Therapeutics Inc.,ANIK,0.204052,Biotechnology,270652.000
Five Prime Therapeutics Inc.,FPRX,0.186189,Biotechnology,632731.000
Prothena Corp. Plc,PRTA,0.184133,Biotechnology,719064.000
ArQule Inc.,ARQL,0.182482,Biotechnology,1171261.000
Rocket Pharmaceuticals Inc.,RCKT,0.176700,Biotechnology,405271.000
Apellis Pharmaceuticals Inc.,APLS,0.160610,Biotechnology,358356.000
Athenex Inc.,ATNX,0.154702,Biotechnology,565823.000
Assembly Biosciences Inc.,ASMB,0.147527,Biotechnology,387264.000
Kura Oncology Inc.,KURA,0.143585,Biotechnology,400043.000
GlycoMimetics Inc.,GLYC,0.132822,Biotechnology,459792.000
Cytokinetics Incorporated,CYTK,0.124550,Biotechnology,639735.000
Rhythm Pharmaceuticals Inc.,RYTM,0.114697,Biotechnology,184949.000
Cyclerion TherapeuticsInc.,CYCN,0.105888,Biotechnology,265703.000
