Name,Identifier,Weight,Sector,Shares Held
U.S. Silica Holdings Inc.,SLCA,4.125857,Oil & Gas Equipment & Services,549901.000
RPC Inc.,RES,4.117607,Oil & Gas Equipment & Services,765388.000
McDermott International Inc.,MDR,4.082644,Oil & Gas Equipment & Services,938102.000
ProPetro Holding Corp.,PUMP,3.891616,Oil & Gas Equipment & Services,378347.000
Patterson-UTI Energy Inc.,PTEN,3.836695,Oil & Gas Drilling,580022.000
Diamond Offshore Drilling Inc.,DO,3.814612,Oil & Gas Drilling,785656.000
Oceaneering International Inc.,OII,3.795463,Oil & Gas Equipment & Services,526029.000
Nabors Industries Ltd.,NBR,3.785647,Oil & Gas Drilling,2312880.000
TechnipFMC Plc,FTI,3.670249,Oil & Gas Equipment & Services,352764.000
Helmerich & Payne Inc.,HP,3.666052,Oil & Gas Drilling,140192.000
Halliburton Company,HAL,3.624867,Oil & Gas Equipment & Services,269434.000
Dril-Quip Inc.,DRQ,3.598909,Oil & Gas Equipment & Services,189138.000
Schlumberger NV,SLB,3.588137,Oil & Gas Equipment & Services,179211.000
Core Laboratories NV,CLB,3.516773,Oil & Gas Equipment & Services,113177.000
Transocean Ltd.,RIG,3.362278,Oil & Gas Drilling,913773.000
National Oilwell Varco Inc.,NOV,3.289362,Oil & Gas Equipment & Services,286145.000
Baker Hughes a GE Company Class A,BHGE,3.143619,Oil & Gas Equipment & Services,287648.000
Apergy Corp.,APY,3.027154,Oil & Gas Equipment & Services,171436.000
Ensco Rowan Plc Class A,ESV,2.985490,Oil & Gas Drilling,462578.000
Weatherford International plc,WFT,2.935247,Oil & Gas Equipment & Services,11240922.000
Superior Energy Services Inc.,SPN,2.891495,Oil & Gas Equipment & Services,1319826.000
Noble Corporation plc,NE,2.535415,Oil & Gas Drilling,2110837.000
C&J Energy Services Inc.,CJ,2.329631,Oil & Gas Equipment & Services,351738.000
Oil States International Inc.,OIS,2.192006,Oil & Gas Equipment & Services,284770.000
Archrock Inc.,AROC,1.918389,Oil & Gas Equipment & Services,432812.000
Keane Group Inc.,FRAC,1.771842,Oil & Gas Equipment & Services,343110.000
Cactus Inc. Class A,WHD,1.713171,Oil & Gas Equipment & Services,106596.000
Liberty Oilfield Services Inc. Class A,LBRT,1.679037,Oil & Gas Equipment & Services,236870.000
Helix Energy Solutions Group Inc.,HLX,1.587353,Oil & Gas Equipment & Services,465076.000
Solaris Oilfield Infrastructure Inc. Class A,SOI,1.197549,Oil & Gas Equipment & Services,150372.000
Forum Energy Technologies Inc.,FET,1.185849,Oil & Gas Equipment & Services,518270.000
Unit Corporation,UNT,1.012993,Oil & Gas Drilling,154525.000
Select Energy Services Inc. Class A,WTTR,0.891786,Oil & Gas Equipment & Services,171427.000
Newpark Resources Inc.,NR,0.868262,Oil & Gas Equipment & Services,226094.000
Tidewater Inc,TDW,0.743945,Oil & Gas Equipment & Services,71128.000
KLX Energy Services Holdings Inc.,KLXE,0.704856,Oil & Gas Equipment & Services,58333.000
DMC Global Inc.,BOOM,0.665271,Oil & Gas Equipment & Services,22883.000
Frank's International NV,FI,0.608816,Oil & Gas Equipment & Services,225273.000
SEACOR Holdings Inc.,CKH,0.524603,Oil & Gas Equipment & Services,28358.000
Matrix Service Company,MTRX,0.516198,Oil & Gas Equipment & Services,62462.000
Exterran Corp.,EXTN,0.446619,Oil & Gas Equipment & Services,61395.000
