Name,Identifier,Weight,Sector,Shares Held
Lowe's Companies Inc.,LOW,4.922357,Home Improvement Retail,316846.000
Owens Corning,OC,4.739941,Building Products,669410.000
D.R. Horton Inc.,DHI,4.728045,Homebuilding,779530.000
Home Depot Inc.,HD,4.714624,Home Improvement Retail,173696.000
A. O. Smith Corporation,AOS,4.600654,Building Products,619540.000
PulteGroup Inc.,PHM,4.509123,Homebuilding,1141383.000
Lennar Corporation Class A,LEN,4.503839,Homebuilding,660073.000
Toll Brothers Inc.,TOL,4.502587,Homebuilding,884672.000
Fortune Brands Home & Security Inc.,FBHS,4.466954,Building Products,681586.000
Masco Corporation,MAS,4.317611,Building Products,803679.000
Johnson Controls International plc,JCI,4.294159,Building Products,877597.000
NVR Inc.,NVR,4.260589,Homebuilding,10620.000
Whirlpool Corporation,WHR,4.176616,Household Appliances,229070.000
Mohawk Industries Inc.,MHK,4.148657,Home Furnishings,238384.000
Williams-Sonoma Inc.,WSM,4.115068,Homefurnishing Retail,543082.000
Lennox International Inc.,LII,4.048532,Building Products,112137.000
Allegion PLC,ALLE,3.718368,Building Products,298304.000
iRobot Corporation,IRBT,3.574298,Household Appliances,207630.000
USG Corporation,USG,2.567572,Building Products,445559.000
Leggett & Platt Incorporated,LEG,2.492801,Home Furnishings,429320.000
Trex Company Inc.,TREX,2.332371,Building Products,231092.000
Helen of Troy Limited,HELE,1.941355,Household Appliances,125273.000
Armstrong World Industries Inc.,AWI,1.726444,Building Products,150613.000
Taylor Morrison Home Corporation Class A,TMHC,1.569459,Homebuilding,615133.000
Aaron's Inc.,AAN,1.525799,Homefurnishing Retail,216990.000
TRI Pointe Group Inc,TPH,1.364723,Homebuilding,733278.000
LGI Homes Inc.,LGIH,1.122726,Homebuilding,124596.000
M.D.C. Holdings Inc.,MDC,0.922859,Homebuilding,223968.000
TopBuild Corp.,BLD,0.853523,Homebuilding,89078.000
Cavco Industries Inc.,CVCO,0.751600,Homebuilding,44044.000
Skyline Champion Corp.,SKY,0.645056,Homebuilding,241754.000
Century Communities Inc.,CCS,0.509876,Homebuilding,150625.000
Installed Building Products Inc.,IBP,0.444935,Homebuilding,64345.000
William Lyon Homes Class A,WLH,0.420155,Homebuilding,193227.000
M/I Homes Inc.,MHO,0.312862,Homebuilding,83664.000
