Name,Identifier,Weight,Sector,Shares Held
American Tower Corporation,AMT,11.814337,Equity Real Estate Investment Trusts (Reits),1856559.000
Simon Property Group Inc.,SPG,7.623920,Equity Real Estate Investment Trusts (Reits),1300354.000
Crown Castle International Corp,CCI,7.215841,Equity Real Estate Investment Trusts (Reits),1748988.000
Prologis Inc.,PLD,6.391970,Equity Real Estate Investment Trusts (Reits),2652987.000
Equinix Inc.,EQIX,5.255727,Equity Real Estate Investment Trusts (Reits),350682.000
Public Storage,PSA,4.547242,Equity Real Estate Investment Trusts (Reits),631628.000
Welltower Inc.,WELL,3.969522,Equity Real Estate Investment Trusts (Reits),1626098.000
Equity Residential,EQR,3.903778,Equity Real Estate Investment Trusts (Reits),1556933.000
AvalonBay Communities Inc.,AVB,3.820580,Equity Real Estate Investment Trusts (Reits),582973.000
Digital Realty Trust Inc.,DLR,3.448278,Equity Real Estate Investment Trusts (Reits),874687.000
SBA Communications Corp. Class A,SBAC,3.120078,Equity Real Estate Investment Trusts (Reits),473835.000
Ventas Inc.,VTR,2.965545,Equity Real Estate Investment Trusts (Reits),1499061.000
Realty Income Corporation,O,2.935277,Equity Real Estate Investment Trusts (Reits),1278551.000
Boston Properties Inc.,BXP,2.890651,Equity Real Estate Investment Trusts (Reits),650282.000
Weyerhaeuser Company,WY,2.789904,Equity Real Estate Investment Trusts (Reits),3141834.000
Essex Property Trust Inc.,ESS,2.549325,Equity Real Estate Investment Trusts (Reits),276473.000
CBRE Group Inc. Class A,CBRE,2.205186,Real Estate Management & Development,1314459.000
Alexandria Real Estate Equities Inc.,ARE,2.186717,Equity Real Estate Investment Trusts (Reits),474399.000
HCP Inc.,HCP,1.985919,Equity Real Estate Investment Trusts (Reits),2010764.000
Host Hotels & Resorts Inc.,HST,1.960463,Equity Real Estate Investment Trusts (Reits),3116433.000
Extra Space Storage Inc.,EXR,1.774365,Equity Real Estate Investment Trusts (Reits),535754.000
UDR Inc.,UDR,1.708216,Equity Real Estate Investment Trusts (Reits),1159927.000
Mid-America Apartment Communities Inc.,MAA,1.691236,Equity Real Estate Investment Trusts (Reits),479271.000
Vornado Realty Trust,VNO,1.607460,Equity Real Estate Investment Trusts (Reits),729752.000
Regency Centers Corporation,REG,1.551279,Equity Real Estate Investment Trusts (Reits),704989.000
Duke Realty Corporation,DRE,1.496750,Equity Real Estate Investment Trusts (Reits),1511927.000
Iron Mountain Inc.,IRM,1.438529,Equity Real Estate Investment Trusts (Reits),1205219.000
Federal Realty Investment Trust,FRT,1.373017,Equity Real Estate Investment Trusts (Reits),313001.000
Apartment Investment and Management Company Class A,AIV,1.080809,Equity Real Estate Investment Trusts (Reits),660807.000
Kimco Realty Corporation,KIM,1.019339,Equity Real Estate Investment Trusts (Reits),1773462.000
SL Green Realty Corp.,SLG,1.017750,Equity Real Estate Investment Trusts (Reits),352232.000
Macerich Company,MAC,0.605438,Equity Real Estate Investment Trusts (Reits),445569.000
