"","Date","symbol","position","quantity","AvePrice","Last","OpenPandL","OpenPerShare","OpenPLpct","TotalCost","MarketValue","Acct","TradeType","Transaction","Quantity","price","Amount"
"1",2003-01-02,0,0,0,0,14.8,0,0,0,0,0,0,"Margin","Buy",6756,14.8,99988.8
"2",2003-01-03,0,0,0,0,14.9,0,0,0,0,0,0,NA,NA,NA,NA,NA
"3",2003-01-06,0,0,0,0,14.9,0,0,0,0,0,0,NA,NA,NA,NA,NA
"4",2003-01-07,0,0,0,0,14.85,0,0,0,0,0,0,NA,NA,NA,NA,NA
"5",2003-01-08,0,0,0,0,14.55,0,0,0,0,0,0,NA,NA,NA,NA,NA
"6",2003-01-09,0,0,0,0,14.68,0,0,0,0,0,0,NA,NA,NA,NA,NA
"7",2003-01-10,0,0,0,0,14.72,0,0,0,0,0,0,NA,NA,NA,NA,NA
"8",2003-01-13,0,0,0,0,14.63,0,0,0,0,0,0,NA,NA,NA,NA,NA
"9",2003-01-14,0,0,0,0,14.61,0,0,0,0,0,0,NA,NA,NA,NA,NA
"10",2003-01-15,0,0,0,0,14.43,0,0,0,0,0,0,NA,NA,NA,NA,NA
"11",2003-01-16,0,0,0,0,14.62,0,0,0,0,0,0,NA,NA,NA,NA,NA
"12",2003-01-17,0,0,0,0,14.1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"13",2003-01-21,0,0,0,0,14.02,0,0,0,0,0,0,NA,NA,NA,NA,NA
"14",2003-01-22,0,0,0,0,13.88,0,0,0,0,0,0,NA,NA,NA,NA,NA
"15",2003-01-23,0,0,0,0,14.17,0,0,0,0,0,0,NA,NA,NA,NA,NA
"16",2003-01-24,0,0,0,0,13.8,0,0,0,0,0,0,NA,NA,NA,NA,NA
"17",2003-01-27,0,0,0,0,14.13,0,0,0,0,0,0,NA,NA,NA,NA,NA
"18",2003-01-28,0,0,0,0,14.58,0,0,0,0,0,0,NA,NA,NA,NA,NA
"19",2003-01-29,0,0,0,0,14.58,0,0,0,0,0,0,NA,NA,NA,NA,NA
"20",2003-01-30,0,0,0,0,14.32,0,0,0,0,0,0,NA,NA,NA,NA,NA
"21",2003-01-31,0,0,0,0,14.36,0,0,0,0,0,0,NA,NA,NA,NA,NA
"22",2003-02-03,0,0,0,0,14.66,0,0,0,0,0,0,NA,NA,NA,NA,NA
"23",2003-02-04,0,0,0,0,14.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"24",2003-02-05,0,0,0,0,14.45,0,0,0,0,0,0,NA,NA,NA,NA,NA
"25",2003-02-06,0,0,0,0,14.43,0,0,0,0,0,0,NA,NA,NA,NA,NA
"26",2003-02-07,0,0,0,0,14.15,0,0,0,0,0,0,NA,NA,NA,NA,NA
"27",2003-02-10,0,0,0,0,14.35,0,0,0,0,0,0,NA,NA,NA,NA,NA
"28",2003-02-11,0,0,0,0,14.35,0,0,0,0,0,0,NA,NA,NA,NA,NA
"29",2003-02-12,0,0,0,0,14.39,0,0,0,0,0,0,NA,NA,NA,NA,NA
"30",2003-02-13,0,0,0,0,14.54,0,0,0,0,0,0,NA,NA,NA,NA,NA
"31",2003-02-14,0,0,0,0,14.67,0,0,0,0,0,0,NA,NA,NA,NA,NA
"32",2003-02-18,0,0,0,0,15.27,0,0,0,0,0,0,NA,NA,NA,NA,NA
"33",2003-02-19,0,0,0,0,14.85,0,0,0,0,0,0,NA,NA,NA,NA,NA
"34",2003-02-20,0,0,0,0,14.77,0,0,0,0,0,0,NA,NA,NA,NA,NA
"35",2003-02-21,0,0,0,0,15,0,0,0,0,0,0,NA,NA,NA,NA,NA
"36",2003-02-24,0,0,0,0,14.74,0,0,0,0,0,0,NA,NA,NA,NA,NA
"37",2003-02-25,0,0,0,0,15.02,0,0,0,0,0,0,NA,NA,NA,NA,NA
"38",2003-02-26,0,0,0,0,14.5,0,0,0,0,0,0,NA,NA,NA,NA,NA
"39",2003-02-27,0,0,0,0,14.86,0,0,0,0,0,0,NA,NA,NA,NA,NA
"40",2003-02-28,0,0,0,0,15.01,0,0,0,0,0,0,NA,NA,NA,NA,NA
"41",2003-03-03,0,0,0,0,14.65,0,0,0,0,0,0,NA,NA,NA,NA,NA
"42",2003-03-04,0,0,0,0,14.56,0,0,0,0,0,0,NA,NA,NA,NA,NA
"43",2003-03-05,0,0,0,0,14.62,0,0,0,0,0,0,NA,NA,NA,NA,NA
"44",2003-03-06,0,0,0,0,14.56,0,0,0,0,0,0,NA,NA,NA,NA,NA
"45",2003-03-07,0,0,0,0,14.53,0,0,0,0,0,0,NA,NA,NA,NA,NA
"46",2003-03-10,0,0,0,0,14.37,0,0,0,0,0,0,NA,NA,NA,NA,NA
"47",2003-03-11,0,0,0,0,14.23,0,0,0,0,0,0,NA,NA,NA,NA,NA
"48",2003-03-12,0,0,0,0,14.22,0,0,0,0,0,0,NA,NA,NA,NA,NA
"49",2003-03-13,0,0,0,0,14.72,0,0,0,0,0,0,NA,NA,NA,NA,NA
"50",2003-03-14,0,0,0,0,14.78,0,0,0,0,0,0,NA,NA,NA,NA,NA
"51",2003-03-17,0,0,0,0,15.01,0,0,0,0,0,0,NA,NA,NA,NA,NA
"52",2003-03-18,0,0,0,0,15,0,0,0,0,0,0,NA,NA,NA,NA,NA
"53",2003-03-19,0,0,0,0,14.95,0,0,0,0,0,0,NA,NA,NA,NA,NA
"54",2003-03-20,0,0,0,0,14.91,0,0,0,0,0,0,NA,NA,NA,NA,NA
"55",2003-03-21,0,0,0,0,15,0,0,0,0,0,0,NA,NA,NA,NA,NA
"56",2003-03-24,0,0,0,0,14.37,0,0,0,0,0,0,NA,NA,NA,NA,NA
"57",2003-03-25,0,0,0,0,14.55,0,0,0,0,0,0,NA,NA,NA,NA,NA
"58",2003-03-26,0,0,0,0,14.41,0,0,0,0,0,0,NA,NA,NA,NA,NA
"59",2003-03-27,0,0,0,0,14.49,0,0,0,0,0,0,NA,NA,NA,NA,NA
"60",2003-03-28,0,0,0,0,14.57,0,0,0,0,0,0,NA,NA,NA,NA,NA
"61",2003-03-31,0,0,0,0,14.14,0,0,0,0,0,0,NA,NA,NA,NA,NA
"62",2003-04-01,0,0,0,0,14.16,0,0,0,0,0,0,NA,NA,NA,NA,NA
"63",2003-04-02,0,0,0,0,14.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"64",2003-04-03,0,0,0,0,14.46,0,0,0,0,0,0,NA,NA,NA,NA,NA
"65",2003-04-04,0,0,0,0,14.41,0,0,0,0,0,0,NA,NA,NA,NA,NA
"66",2003-04-07,0,0,0,0,14.49,0,0,0,0,0,0,NA,NA,NA,NA,NA
"67",2003-04-08,0,0,0,0,14.45,0,0,0,0,0,0,NA,NA,NA,NA,NA
"68",2003-04-09,0,0,0,0,14.19,0,0,0,0,0,0,NA,NA,NA,NA,NA
"69",2003-04-10,0,0,0,0,14.37,0,0,0,0,0,0,NA,NA,NA,NA,NA
"70",2003-04-11,0,0,0,0,13.2,0,0,0,0,0,0,NA,NA,NA,NA,NA
"71",2003-04-14,0,0,0,0,13.58,0,0,0,0,0,0,NA,NA,NA,NA,NA
"72",2003-04-15,0,0,0,0,13.39,0,0,0,0,0,0,NA,NA,NA,NA,NA
"73",2003-04-16,0,0,0,0,13.24,0,0,0,0,0,0,NA,NA,NA,NA,NA
"74",2003-04-17,0,0,0,0,13.12,0,0,0,0,0,0,NA,NA,NA,NA,NA
"75",2003-04-21,0,0,0,0,13.14,0,0,0,0,0,0,NA,NA,NA,NA,NA
"76",2003-04-22,0,0,0,0,13.51,0,0,0,0,0,0,NA,NA,NA,NA,NA
"77",2003-04-23,0,0,0,0,13.58,0,0,0,0,0,0,NA,NA,NA,NA,NA
"78",2003-04-24,0,0,0,0,13.44,0,0,0,0,0,0,NA,NA,NA,NA,NA
"79",2003-04-25,0,0,0,0,13.35,0,0,0,0,0,0,NA,NA,NA,NA,NA
