"","Date","Close","AA","AAPL","AXP","BA","BAC","C","CAT","CSCO","CVX","DD","DIS","DWDP","GE","GM","GS","HD","HPE","IBM","INTC","JNJ","JPM","KO","KRFT","MCD","MMM","MRK","MSFT","NKE","PFE","PG","T","TRV","UNH","UTX","V","VZ","WBA","WMT","XOM","v.INDU","v.DIA","v.Divisor","AA.1","AAPL.1","AXP.1","BA.1","BAC.1","C.1","CAT.1","CSCO.1","CVX.1","DD.1","DIS.1","DWDP.1","GE.1","GM.1","GS.1","HD.1","HPE.1","IBM.1","INTC.1","JNJ.1","JPM.1","KO.1","KRFT.1","MCD.1","MMM.1","MRK.1","MSFT.1","NKE.1","PFE.1","PG.1","T.1","TRV.1","UNH.1","UTX.1","V.1","VZ.1","WBA.1","WMT.1","XOM.1","v.posrows"
"1",2009-03-30,78.790001,NA,104.49,12.81,35.52,6.03,2.31,27.53,16.31,66.8,21.93,17.85,8.3,9.93,NA,100.46,23.38,NA,94.52,14.72,53.01,24.85,43.92,NA,53.92,48.65,26.55,17.48,46.26,13.7,47.28,25.16,38.52,20.54,42.6,53.5,30.22,25.99,51.76,68.63,7522.02,74.99,0.14748072,0,0,12.81,35.52,6.03,2.31,27.53,0,66.8,21.93,17.85,0,9.93,0,0,23.38,0,94.52,14.72,53.01,24.85,43.92,0,53.92,48.65,26.55,17.48,0,13.7,47.28,25.16,0,0,42.6,0,30.22,0,51.76,68.63,26
"2",2009-03-31,79.519997,NA,105.12,13.63,35.58,6.82,2.53,27.96,16.77,67.24,22.33,18.16,8.43,10.11,NA,106.02,23.56,NA,96.89,15.03,52.6,26.58,43.95,NA,54.57,49.72,26.75,18.37,46.89,13.62,47.09,25.2,40.64,20.93,42.98,55.6,30.2,25.96,52.1,68.1,7608.92,75.58,0.14748072,0,0,13.63,35.58,6.82,2.53,27.96,0,67.24,22.33,18.16,0,10.11,0,0,23.56,0,96.89,15.03,52.6,26.58,43.95,0,54.57,49.72,26.75,18.37,0,13.62,47.09,25.2,0,0,42.98,0,30.2,0,52.1,68.1,26
"3",2009-04-01,81.059998,NA,108.69,14.44,35.44,7.05,2.68,28.99,17.46,68.3,23.44,18.79,8.81,10.17,NA,110.29,23.83,NA,97.61,15.03,53.04,28.14,44.86,NA,55.24,50.65,26.99,19.31,47,13.99,48.21,25.92,42.14,20.68,43.88,54.29,31.22,26.5,52.82,69.23,7761.6,77.27,0.14748072,0,0,14.44,35.44,7.05,2.68,28.99,0,68.3,23.44,18.79,0,10.17,0,0,23.83,0,97.61,15.03,53.04,28.14,44.86,0,55.24,50.65,26.99,19.31,0,13.99,48.21,25.92,0,0,43.88,0,31.22,0,52.82,69.23,26
"4",2009-04-02,83.43,NA,112.71,14.98,37.2,7.24,2.74,31.54,18.14,70.31,25.23,20.21,9.94,10.74,NA,114.22,24.77,NA,100.82,15.7,52.97,28.16,45.34,NA,56.35,52.13,27,19.29,50.49,13.77,49.42,26.54,41.97,21.07,45.94,55.59,32.46,27.39,53.64,70.25,7978.08,79.45,0.14748072,0,0,14.98,37.2,7.24,2.74,31.54,0,70.31,25.23,20.21,0,10.74,0,0,24.77,0,100.82,15.7,52.97,28.16,45.34,0,56.35,52.13,27,19.29,0,13.77,49.42,26.54,0,0,45.94,0,32.46,0,53.64,70.25,26
"5",2009-04-03,84.260002,NA,115.99,15.33,37.69,7.6,2.85,32.15,18.16,70.48,25.97,20,11,10.94,NA,119.4,25,NA,102.22,15.95,52.15,29.28,44.97,NA,56.64,52.11,26.46,18.75,51.87,13.55,49.63,26.83,42.61,20.54,45.63,60.08,32.79,26.91,53.8,70.44,8017.59,79.9,0.14748072,0,0,15.33,37.69,7.6,2.85,32.15,0,70.48,25.97,20,0,10.94,0,0,25,0,102.22,15.95,52.15,29.28,44.97,0,56.64,52.11,26.46,18.75,0,13.55,49.63,26.83,0,0,45.63,0,32.79,0,53.8,70.44,26
"6",2009-04-06,83.599998,NA,118.45,15.16,38.16,7.48,2.72,31.31,17.53,69.89,25.44,19.62,10.78,11.19,NA,116.65,24.85,NA,101.56,15.86,52.2,28.2,44.99,NA,55.94,52.08,26.67,18.76,51.27,13.71,49.65,26.59,42.14,21.93,46.31,59.13,33.03,26.93,53.43,70.05,7975.85,79.5,0.14748072,0,0,15.16,38.16,7.48,2.72,31.31,0,69.89,25.44,19.62,0,11.19,0,0,24.85,0,101.56,15.86,52.2,28.2,44.99,0,55.94,52.08,26.67,18.76,0,13.71,49.65,26.59,0,0,46.31,0,33.03,0,53.43,70.05,26
"7",2009-04-07,81.650002,NA,115,15.01,36.64,7.36,2.76,29.45,16.85,68.4,24.32,19.12,9.97,10.65,NA,116.08,24.37,NA,98.75,15.45,51.36,27.25,44.62,NA,55.4,50.8,26.27,18.76,49.86,13.51,48.68,25.53,41.42,23.45,45.16,57.15,31.72,27.4,52.39,68.71,7789.56,77.63,0.14748072,0,0,15.01,36.64,7.36,2.76,29.45,0,68.4,24.32,19.12,0,10.65,0,0,24.37,0,98.75,15.45,51.36,27.25,44.62,0,55.4,50.8,26.27,18.76,0,13.51,48.68,25.53,0,0,45.16,0,31.72,0,52.39,68.71,26
"8",2009-04-08,82.529999,NA,116.32,15.72,36.87,7.06,2.7,29.57,17.13,68.48,24.92,19.36,10.15,10.64,NA,114.75,25.12,NA,101.19,15.27,51.45,27.43,44.99,NA,55.56,51.38,26.76,19.19,50.24,13.48,48.47,25.39,42.14,22.86,44.62,57.82,31.68,27.72,52.61,68.96,7837.11,78.11,0.14748072,0,0,15.72,36.87,7.06,2.7,29.57,0,68.48,24.92,19.36,0,10.64,0,0,25.12,0,101.19,15.27,51.45,27.43,44.99,0,55.56,51.38,26.76,19.19,0,13.48,48.47,25.39,0,0,44.62,0,31.68,0,52.61,68.96,26
"9",2009-04-09,85.809998,NA,119.57,18.83,39.15,9.55,3.04,32.52,17.82,69.23,26.48,19.88,10.94,11.33,NA,124.33,25.9,NA,101.7,15.98,51.41,32.75,44.99,NA,56.67,53.13,26.3,19.67,53.27,13.55,49.19,26.1,42.84,23.86,47.29,58.79,32.1,28.98,50.66,69.84,8083.38,80.63,0.14748072,0,0,18.83,39.15,9.55,3.04,32.52,0,69.23,26.48,19.88,0,11.33,0,0,25.9,0,101.7,15.98,51.41,32.75,44.99,0,56.67,53.13,26.3,19.67,0,13.55,49.19,26.1,0,0,47.29,0,32.1,0,50.66,69.84,26
"10",2009-04-13,85.830002,NA,120.22,20.46,37.15,11.02,3.8,33.16,17.89,67.98,26.81,19.53,11.24,12.13,NA,130.15,25.96,NA,99.95,15.98,51.15,33.7,44.73,NA,56.11,53.35,26.05,19.59,53.12,13.48,48.04,26.02,43.8,24.37,46.39,61.11,31.74,29.17,51.53,68.02,8057.81,80.29,0.14748072,0,0,20.46,37.15,11.02,3.8,33.16,0,67.98,26.81,19.53,0,12.13,0,0,25.96,0,99.95,15.98,51.15,33.7,44.73,0,56.11,53.35,26.05,19.59,0,13.48,48.04,26.02,0,0,46.39,0,31.74,0,51.53,68.02,26
"11",2009-04-14,84.349998,NA,118.31,18.43,37.04,10.09,4.01,32.7,17.93,66.58,26.65,19.02,10.66,11.51,NA,115.11,25.34,NA,99.27,16.01,51.37,30.7,44.21,NA,54.82,52.94,25.68,19.35,51.4,13.34,47.25,25.28,41.34,24.5,45.55,58.33,31.3,28.9,51.12,67.7,7920.18,79.01,0.14748072,0,0,18.43,37.04,10.09,4.01,32.7,0,66.58,26.65,19.02,0,11.51,0,0,25.34,0,99.27,16.01,51.37,30.7,44.21,0,54.82,52.94,25.68,19.35,0,13.34,47.25,25.28,0,0,45.55,0,31.3,0,51.12,67.7,26
"12",2009-04-15,85.25,NA,117.64,20.62,37.57,10.44,3.97,33.02,17.56,66.7,27.4,19.73,11.23,11.83,NA,121.19,25.67,NA,98.85,15.62,51.77,32.56,45.03,NA,53.95,53.73,26.25,18.83,52.11,13.86,48.75,25.45,43.64,25.11,46.76,59.11,31.69,29.04,51.29,68.14,8029.62,80.04,0.14748072,0,0,20.62,37.57,10.44,3.97,33.02,0,66.7,27.4,19.73,0,11.83,0,0,25.67,0,98.85,15.62,51.77,32.56,45.03,0,53.95,53.73,26.25,18.83,0,13.86,48.75,25.45,0,0,46.76,0,31.69,0,51.29,68.14,26
"13",2009-04-16,86.5,NA,121.45,20.69,38.39,10.34,4.01,32.71,18.08,65.93,28.34,20.51,11.91,12.27,NA,121.19,25.97,NA,101.43,15.89,52.2,33.24,45.1,NA,54.7,54.76,25.85,19.76,53.77,13.9,50.43,25.99,43.19,24.36,47.5,58.07,31.73,30.39,50.78,67.41,8125.43,81,0.14748072,0,0,20.69,38.39,10.34,4.01,32.71,0,65.93,28.34,20.51,0,12.27,0,0,25.97,0,101.43,15.89,52.2,33.24,45.1,0,54.7,54.76,25.85,19.76,0,13.9,50.43,25.99,0,0,47.5,0,31.73,0,50.78,67.41,26
"14",2009-04-17,87.080002,NA,123.42,21.81,38.32,10.6,3.65,32.29,17.99,66.01,28.42,20.38,12.6,12.39,NA,120.6,26.1,NA,101.27,15.6,53.05,33.26,45.02,NA,56.09,53.81,25.73,19.2,54.61,14.16,51.66,25.95,42.53,24.14,47.32,58,31.78,30.02,50.2,66.75,8131.33,81.05,0.14748072,0,0,21.81,38.32,10.6,3.65,32.29,0,66.01,28.42,20.38,0,12.39,0,0,26.1,0,101.27,15.6,53.05,33.26,45.02,0,56.09,53.81,25.73,19.2,0,14.16,51.66,25.95,0,0,47.32,0,31.78,0,50.2,66.75,26
"15",2009-04-20,83.43,NA,120.5,18.98,36.48,8.02,2.94,30.48,17.31,63.87,26.74,19.41,11.48,11.35,NA,115.01,25.15,NA,100.43,15,52.47,29.69,44.33,NA,55.33,51.97,25.22,18.61,52.36,13.59,50.73,25.29,40.37,24.21,45.81,55,30.93,30.1,49.27,65.29,7841.73,78.26,0.14748072,0,0,18.98,36.48,8.02,2.94,30.48,0,63.87,26.74,19.41,0,11.35,0,0,25.15,0,100.43,15,52.47,29.69,44.33,0,55.33,51.97,25.22,18.61,0,13.59,50.73,25.29,0,0,45.81,0,30.93,0,49.27,65.29,26
"16",2009-04-21,85.059998,NA,121.76,19.57,36.65,8.76,3.24,31.39,17.69,64.88,28.06,19.47,12.18,11.7,NA,120.36,25.87,NA,102.31,15.36,52.46,32.53,43.09,NA,55.63,53.29,23.54,18.97,53.27,13.52,51.37,25.28,42.64,22.8,47.99,58.63,31.04,30.62,49.83,66.23,7969.56,79.33,0.14748072,0,0,19.57,36.65,8.76,3.24,31.39,0,64.88,28.06,19.47,0,11.7,0,0,25.87,0,102.31,15.36,52.46,32.53,43.09,0,55.63,53.29,23.54,18.97,0,13.52,51.37,25.28,0,0,47.99,0,31.04,0,49.83,66.23,26
"17",2009-04-22,84.540001,NA,121.51,19.43,37.3,8.26,3.25,32.45,17.44,63.75,27.74,19.4,12.47,11.8,NA,120.49,26.17,NA,102.55,15.67,51.18,31.9,42.93,NA,54.25,53.06,22.97,18.78,55,13.04,49.6,25.74,39.93,22.81,46.89,57.51,30.91,29.86,48.96,64.75,7886.57,78.55,0.14748072,0,0,19.43,37.3,8.26,3.25,32.45,0,63.75,27.74,19.4,0,11.8,0,0,26.17,0,102.55,15.67,51.18,31.9,42.93,0,54.25,53.06,22.97,18.78,0,13.04,49.6,25.74,0,0,46.89,0,30.91,0,48.96,64.75,26
