Date,MV,SV,VAR,DIA
2009-03-30,1e6,1e6,1000100,1e6
2009-03-31,1008171.3994551224,1008180.1411727272,1010786.6271131355,1007867.7156954261
2009-04-01,1017967.1065316604,1017960.4744359371,1023066.9197945858,1030404.0538738499
2009-04-02,1043646.2666029389,1043577.3709738198,1050103.5723551956,1059474.5966128819
2009-04-03,1043226.4951547798,1043101.260218108,1047699.5201113275,1065475.3967195628
2009-04-06,1053097.9128351903,1053004.5532449565,1057099.6090167293,1060141.3521802907
2009-04-07,1047777.2511817525,1047787.240326266,1051704.7839370533,1035204.6939591946
2009-04-08,1046216.0611425445,1046158.2630362251,1050339.0631656519,1041605.5474063209
2009-04-09,1076459.8021660522,1076355.8726796585,1085487.3038096381,1075210.0280037338
2009-04-13,1072448.871329674,1072397.272946952,1084086.0244596943,1070676.090145353
2009-04-14,1062942.650015585,1062921.3364724875,1075138.538349524,1053607.1476196828
2009-04-15,1069529.9243752365,1069492.8358366063,1082545.708925455,1067342.312308308
2009-04-16,1074587.2625556872,1074481.0165853743,1087370.6225704,1080144.0192025604
2009-04-17,1082484.8301757022,1082381.55539826,1091039.5932443058,1080810.7747699693
2009-04-20,1062736.2659432888,1062711.3214888338,1068351.8974024036,1043605.814108548
2009-04-21,1055981.8712721164,1055856.5708909314,1063174.5733633616,1057874.3832511003
2009-04-22,1046680.5046496622,1046499.9427573633,1056581.1214063284,1047472.99639952
2009-04-23,1060780.629607611,1060629.3930159241,1068708.3844651002,1058674.489931991
2009-04-24,1058688.4732687096,1058465.0030474921,1075515.234509126,1073076.410188025
2009-04-27,1061992.1580917232,1061773.1614925107,1076088.8956405362,1066808.9078543806
2009-04-28,1064893.1672151648,1064711.2424907398,1077531.3879615273,1064941.9922656354
2009-04-29,1076250.1134190722,1076024.7143090642,1089586.352957049,1086944.9259901321
2009-04-30,1072931.159283384,1072710.976652357,1090580.125743487,1085611.4148553142
2009-05-01,1071365.0569507673,1071119.1244456044,1091572.8384130753,1092145.6194159223
