"","ticker","date","open","high","low","close","volume","dividends","closeunadj","lastupdated"
"1","AAPL",1997-12-31,0.469,0.487,0.462,0.469,101589600,0,13.13,2018-09-21
"2","AAPL",1998-01-02,0.487,0.58,0.482,0.58,179527600,0,16.25,2018-09-21
"3","AAPL",1998-01-05,0.589,0.591,0.542,0.567,162968400,0,15.88,2018-09-21
"4","AAPL",1998-01-06,0.569,0.714,0.527,0.676,453118400,0,18.94,2018-09-21
"5","AAPL",1998-01-07,0.672,0.679,0.618,0.625,260405600,0,17.5,2018-09-21
"6","AAPL",1998-01-08,0.623,0.665,0.605,0.65,193505200,0,18.19,2018-09-21
"7","AAPL",1998-01-09,0.647,0.692,0.625,0.65,221636800,0,18.19,2018-09-21
"8","AAPL",1998-01-12,0.623,0.665,0.611,0.652,129099600,0,18.25,2018-09-21
"9","AAPL",1998-01-13,0.665,0.701,0.661,0.696,159213600,0,19.5,2018-09-21
"10","AAPL",1998-01-14,0.71,0.712,0.688,0.705,147316400,0,19.75,2018-09-21
"11","AAPL",1998-01-15,0.685,0.705,0.665,0.685,139818000,0,19.19,2018-09-21
"12","AAPL",1998-01-16,0.694,0.694,0.667,0.672,61588800,0,18.81,2018-09-21
"13","AAPL",1998-01-20,0.681,0.69,0.665,0.681,60390400,0,19.06,2018-09-21
"14","AAPL",1998-01-21,0.67,0.681,0.663,0.675,47552400,0,18.91,2018-09-21
"15","AAPL",1998-01-22,0.667,0.705,0.665,0.688,82432000,0,19.25,2018-09-21
"16","AAPL",1998-01-23,0.692,0.703,0.688,0.696,58290400,0,19.5,2018-09-21
"17","AAPL",1998-01-26,0.694,0.699,0.672,0.694,36610000,0,19.44,2018-09-21
"18","AAPL",1998-01-27,0.685,0.703,0.679,0.683,28058800,0,19.12,2018-09-21
"19","AAPL",1998-01-28,0.685,0.692,0.665,0.685,37780400,0,19.19,2018-09-21
"20","AAPL",1998-01-29,0.676,0.683,0.661,0.661,52970400,0,18.5,2018-09-21
"21","AAPL",1998-01-30,0.654,0.674,0.652,0.654,40611200,0,18.31,2018-09-21
"22","AAPL",1998-02-02,0.661,0.661,0.62,0.632,159185600,0,17.69,2018-09-21
"23","AAPL",1998-02-03,0.632,0.665,0.632,0.654,100654400,0,18.31,2018-09-21
"24","AAPL",1998-02-04,0.645,0.661,0.643,0.652,42548800,0,18.25,2018-09-21
"25","AAPL",1998-02-05,0.652,0.661,0.643,0.654,59567200,0,18.31,2018-09-21
"26","AAPL",1998-02-06,0.656,0.667,0.652,0.661,50584800,0,18.5,2018-09-21
"27","AAPL",1998-02-09,0.656,0.696,0.656,0.685,123667600,0,19.19,2018-09-21
"28","AAPL",1998-02-10,0.683,0.699,0.681,0.694,105504000,0,19.44,2018-09-21
"29","AAPL",1998-02-11,0.696,0.696,0.674,0.679,52917200,0,19,2018-09-21
"30","AAPL",1998-02-12,0.683,0.694,0.681,0.692,50937600,0,19.37,2018-09-21
"31","AAPL",1998-02-13,0.685,0.71,0.679,0.696,51998800,0,19.5,2018-09-21
"32","AAPL",1998-02-17,0.696,0.705,0.696,0.701,45687600,0,19.62,2018-09-21
"33","AAPL",1998-02-18,0.699,0.741,0.699,0.734,123648000,0,20.56,2018-09-21
"34","AAPL",1998-02-19,0.745,0.748,0.714,0.73,99915200,0,20.44,2018-09-21
"35","AAPL",1998-02-20,0.732,0.734,0.708,0.714,81354000,0,20,2018-09-21
"36","AAPL",1998-02-23,0.719,0.772,0.714,0.759,119372400,0,21.25,2018-09-21
"37","AAPL",1998-02-24,0.761,0.763,0.741,0.761,114147600,0,21.31,2018-09-21
"38","AAPL",1998-02-25,0.761,0.813,0.748,0.797,178166800,0,22.31,2018-09-21
"39","AAPL",1998-02-26,0.797,0.841,0.781,0.839,148783600,0,23.5,2018-09-21
"40","AAPL",1998-02-27,0.833,0.853,0.806,0.844,129900400,0,23.62,2018-09-21
"41","AAPL",1998-03-02,0.841,0.841,0.795,0.813,100111200,0,22.75,2018-09-21
"42","AAPL",1998-03-03,0.781,0.828,0.772,0.826,83518400,0,23.12,2018-09-21
